Study_ID,Authors_OS,Journal_OS,Discipline,Type_Test_Statistic_OS,DF1_OS,DF2_OS,Test_Statistic_OS,Analysis_Type_OS,Effect_Size_OS,Power_OS,N_OS,r_OS,pval_OS,FZ_OS,Type_Test_Statistic_RS,DF1_RS,DF2_RS,Test_Statistic_RS,Analysis_Type_RS,Power_RS,Effect_Size_RS,N_RS,r_RS,pval_RS,FZ_RS,FZ_meta,FZ_se_OS,FZ_se_RS,pvalFZ_OS,pvalFZ_RS
88,"PA Goff, JL Eberhardt, MJ Williams, MC Jackson",JPSP,,F,1,151,4.61,ANCOVA,__p^2 = .03,NA,153,0.172120148,0.033382483,0.1738507213324239,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"PW Eastwick, EJ Finkel",JPSP,Social,t,1,26,0.72,Meta-analytic summary of interaction effects in 14 multilevel models,r = .04,NA,163,0.139816632,0.477948177,0.14073854710188904,t,1,26,0.15,Meta-analytic summary of interaction effects in 14 multilevel models,8,r = .01,304,0.0294047,0.881922196,0.02941317919042627,0.085075863,0.2,0.2,0.4816241453260878,0.8830800082238401
90,"R Brown, R Gonz<e0>lez, H Zagefka, J Manzi, S Cehajic",JPSP,,F_change,NA,NA,21.04,regression,deltaR^2 = .065,NA,193,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"RD Ray, FH Wilhelm, JJ Gross",JPSP,,F,1,105,12.53,nested repeated measures ANOVA,__p^2 = .11,NA,116,0.326513519,5.9829e-4,0.3389207210562569,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"RK Mallett, TD Wilson, DT Gilbert",JPSP,,F,1,73,7.13,2x2x2 between ANOVA,,NA,81,0.298295838,0.00933879,0.3076479480400846,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"SL Murray, JL Derrick, S Leder, JG Holmes",JPSP,Social,t,1,83,3.05,hierarchical regression analyses,sr^2 = .07,NA,91,0.317462994,0.003071238,0.32882322257044133,t,1,68,-1.124,hierarchical regression analyses,9,beta = -.231,76,-0.1351,0.2649653,-0.13593106922441375,0.119839749,0.11043152607484655,0.12216944435630522,0.0029049502739540265,0.26586146089343077
94,SM McCrea,JPSP,Social,t,1,26,1.87,independent samples t-test,d = .736,NA,28,0.344312999,0.072784038,0.3589774188359443,t,1,59,2.325,independent samples t-test,14,d = .197,61,0.28970838,0.023531668,0.29824789584103883,0.316539921,0.2,0.13130643285972254,0.07267169057425144,0.023123481815549168
95,"ST Wolf, CA Insko, JL Kirchner, T Wildschut",JPSP,Social,F,1,33,6.12,ANOVA,d = .86,NA,41,0.395527139,0.01868282,0.4183353631022994,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"T Masuda, PC Ellsworth, B Mesquita, J Leu, S Tanida, E Van de Veerdonk",JPSP,,F,1,47,9.72,2x3 ANOVA,,NA,49,0.413966332,0.003107906,0.44038839692738485,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"V Purdie-Vaughns, CM Steele, PG Davies, R Ditlmann, JR Crosby",JPSP,Social,F,1,73,12.19,ANOVA,__p^2 = .1431,NA,90,0.378274916,8.19277e-4,0.3980449637040193,F,1,1486,2.03,ANOVA,25,__p^2 = .001,1490,-0.036935346,0.154430586,-0.03695215573803545,-0.016836682,0.11785113019775792,0.0259499648053841,7.314169864229885e-4,0.15445309998112136
98,"VS Kwan, OP John, RW Robins, LL Kuang",JPSP,,r,NA,NA,0.91,correlation,r = .91,NA,102,0.91,3.61e-52,1.5275244253552054,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"WB Mendes, B Major, S McCoy, J Blascovich",JPSP,,F,1,102,6.43,between 2x2 ANOVA,,NA,104,0.243517826,0.012738074,0.2485103146571425,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"A Santos, C Rondan, DB Rosset, D Da Fonseca, C Deruelle",PS,,F,1,40,11.3,between 2x2 ANOVA,,NA,42,0.469332403,8.57784e-4,0.5092137990610429,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,"A Weiss, TC Bates, M Luciano",PS,,DeltaChi2,14,NA,19.99,five factor model,,NA,1946,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,"AC Krendl, JA Richeson, WM Kelley, TF Heatherton",PS,,t,1,13,5.64,dependent samples t-test,,NA,28,0.842545902,8.06e-5,1.2298847810623397,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,"AD Galinsky, WW Maddux, D Gilin, JB White",PS,,F,2,72,4.51,ANOVA,,NA,146,0.23593488,0.014277405,0.24046496470463302,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,"AL Alter, DM Oppenheimer",PS,Social,Chi2,1,NA,3.83,Pearson's Chi-squared test,phi = .13,NA,236,0.127392361,0.050342933,0.12808829245428732,Chi2,1,NA,0.387,Pearson's Chi-squared test,25,Phi = .02,1146,0.018376516,0.533880559,0.018378584979961903,NA,NA,NA,NA,NA
105,"AW Kruglanski, A Pierro",PS,Social,F,1,38,9.47,2x2 ANOVA,__p^2 = .199,NA,42,0.446647979,0.00386326,0.48050502779860815,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"B Dessalegn, B Landau",PS,Cognitive,F,1,34,5.8,ANOVA,d = 0.82,0.62,36,0.381744212,0.021595498,0.4020998167736918,t,1,45,1.534,ANOVA,8,d = .48,47,-0.222920955,0.132031044,-0.2267277126679857,0.0427698,0.17407765595569785,0.15075567228888181,0.02089437843380034,0.13259642890442833
107,"B Eitam, RR Hassin, Y Schul",PS,Social,t,1,84,2.09,independent samples t-test,d = .45,NA,86,0.222330235,0.039641746,0.22610618857223114,t,1,156,1.318,independent samples t-test,8,d = -0.21,158,0.104941786,0.189435742,0.10532958523805769,0.147449157,0.10976425998969035,0.08032193289024989,0.03940567183748822,0.18974198768925246
108,"BC Malt, S Gennari, M Imai, E Ameel, N Tsuda, A Majid",PS,,r,NA,NA,0.99,correlation,r = .99,NA,91,0.99,4.49e-136,2.6466524123622457,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,"C Bannard, D Matthews",PS,,t,1,19,1.923,paired sample t test,__p^2 = 0.156 ,NA,38,0.403632537,0.034799408,0.4279808994055395,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,"C Farris, TA Treat, RJ Viken, RM McFall",PS,Social,F,1,278,123.38,general linear model,__p^2 = .326,NA,280,0.554427187,5.76e-24,0.6247508568134915,F,1,142,1.19,RM ANOVA,25,__p^2 = 0.008,144,0.091162691,0.277177119,0.09141649777217642,0.444846205,0.06008417681261097,0.08421519210665189,2.5338676039382365e-25,0.27769549759192863
111,"C Janiszewski, D Uy",PS,Cognitive,F,1,55,6.88,ANOVA,_2 = .02,NA,59,0.333441051,0.011256115,0.3466947775508197,F,1,116,6.23,ANOVA,25,n_p^2 = .05,120,0.225764222,0.013965691,0.22972166660780108,0.26709769,0.13608276348795434,0.09325048082403138,0.010844316575135845,0.013759157054764564
112,"C McKinstry, R Dale, MJ Spivey",PS,Cognitive,F,1,9,8.7,ANOVA,r = -0.7,NA,141,0.701088742,0.016232104,0.8694385140857793,F,1,9,11.6,ANOVA,26,r = -0.75,51,0.750404422,0.007800372,0.9738801092559981,0.921659312,0.3535533905932738,0.3535533905932738,0.013926894740968901,0.005877310341916474
113,"DA Armor, C Massey, AM Sackett",PS,Social,t,1,124,10.36,single sample t-test,d =.93,NA,126,0.681152182,1.69e-18,0.8312603652764454,t,1,175,15.64,single sample t-test,25,d = 1.18,177,0.763508789,4.59e-35,1.0045748445259537,0.932798141,0.09016696346674323,0.07580980435789034,2.9953883989427076e-20,4.437364002519124e-40
114,"DR Addis, AT Wong, DL Schacter",PS,Social,F,1,30,14.49,RM ANOVA,__p^2= 0.326,NA,32,0.570693584,6.47885e-4,0.6485508268295646,F,1,30,22.27,RM ANOVA,21,__p^2= 0.426,32,0.652730428,5.14e-5,0.7800413305825454,0.714296079,0.18569533817705186,0.18569533817705186,4.7842648454699617e-4,2.6614844692483453e-5
115,"E Nurmsoo, P Bloom",PS,Cognitive,t,1,31,3.23,dependent samples t-test,d = .571,NA,32,0.501799075,0.00292708,0.5517077961138106,t,1,8,-1.426,dependent samples t-test,16,d = .286,8,-0.450187899,0.191700924,-0.4849359136128487,0.355586013,0.18257418583505536,0.3779644730092272,0.00251253226950747,0.19948512908889696
116,"E Vul, H Pashler",PS,Cognitive,t,1,172,3.94,dependent samples t-test,d = 0.47,NA,173,0.28771881,1.18e-4,0.2960774021948262,t,1,139,4.02,dependent samples t-test,25,d = .34,140,0.322727228,9.5e-5,0.3346884306856667,0.313321162,0.07647191129018725,0.08512565307587486,1.0807252571739361e-4,8.43476929254931e-5
117,"E Vul, M Nieuwenstein, N Kanwisher",PS,Cognitive,F,18,660,16.31,ANOVA,__p^2 = .308,NA,12,0.130782132,6.06e-42,0.1315355097435253,F,18,660,12.98,ANOVA,25,_^2 = .261,12,0.120519146,3.35e-33,0.12110779267805166,NA,NA,NA,NA,NA
118,"EJ Masicampo, RF Baumeister",PS,Social,F,1,111,5.311,ANOVA,__p^2 = .045,NA,115,0.21368683,0.023051359,0.2170314123737517,F,1,158,0.379,between ANOVA,7,__p^2 = 0.002,166,-0.048918238,0.539024693,-0.0489573144713754,0.060626056,0.09534625892455922,0.07980868844676221,0.02283137050694741,0.5395898123413128
119,"FK Anggoro, SR Waxman, DL Medin",PS,,Chi2,1,NA,50.89,"non parametric analysis, chi square",,NA,48,1.029664185,9.77e-13,NaN,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NaN,NA
120,"G Hajcak, D Foti",PS,Social,r,NA,NA,-0.38,zero-order correlation,"F not calculable (no effect size, no SD on means); |rho| = .38",NA,31,0.38,0.03426692,0.4000596500560566,r,NA,NA,-0.25,zero-order correlation,10,r = -.25,43,0.25,0.106230062,0.25541281188299536,0.314973275,0.1889822365046136,0.15811388300841897,0.03426691915868743,0.10623006087141522
121,"G Tabibnia, AB Satpute, MD Lieberman",PS,Social,t,1,11,5.39,dependent samples t-test,d = 3.25,NA,12,0.851679354,2.1998e-4,1.2622359039857955,z,NA,NA,5.43,GLM of neuroimaging data,25,d = 2.22,24,0.828997685,2.82e-8,1.1849231441241876,NA,NA,NA,NA,NA
122,"GA Alvarez, A Oliva",PS,Cognitive,t,1,7,2.76,dependent samples t-test,dz = 0.976,NA,8,0.721890032,0.02809598,0.9115806092509464,t,1,16,-9.59,dependent samples t-test,23,dz= -2.33,17,0.922934494,4.9e-8,1.6084759465314626,1.409362993,0.408248290463863,0.2581988897471611,0.025555054658583345,4.676259363364088e-10
123,"GF Woodman, MS Kang, K Thompson, JD Schall",PS,,t,1,38,14.47,t-test,r^2 = .846,NA,4,0.919994961,4.85e-17,1.5889941101744822,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"GP Lau, AC Kay, SJ Spencer",PS,Social,F,1,34,5.89,ANOVA,__p^2 = 0.147,NA,36,0.384260399,0.02067727,0.40504855976784254,F,1,68,0.08,ANOVA,19,__p^2 = .001,70,-0.034279559,0.778156632,-0.034292995642847136,0.110689718,0.17407765595569785,0.12216944435630522,0.019974484001864433,0.7789403039902972
125,"GP Lau, AC Kay, SJ Spencer",PS,,,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,"IJ Deary, GD Batty, CR Gale",PS,,Chi2,33,NA,274.4,deviance test,,NA,3412,0.283587799,7.59e-40,0.29157935143155994,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"J Winawer, AC Huk, L Boroditsky",PS,Cognitive,t,1,28,4.98,paired sample t-test,d = -.94,NA,32,0.685347348,2.93e-5,0.83912881221931,t,1,25,-3.103,paired sample t-test,25,d = -.62,26,0.527307869,0.004708112,0.5864088055269303,0.72020175,0.19245008972987526,0.2041241452319315,1.2991915072693856e-5,0.004068455272326854
128,"J Zaki, N Bolger, K Ochsner",PS,Social,b,NA,NA,0.14,regression,X,NA,33,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"JA Richeson, S Trawalter",PS,Social,F,1,26,4.17,mixed ANOVA,d = 0.80,NA,28,0.371775163,0.051411614,0.39048139819882355,F,1,64,0.02,mixed ANOVA,17,_2 = .00,66,0.017674908,0.887981301,0.017676748906140512,0.123587161,0.2,0.12598815766974242,0.050889903698622646,0.8884191366084581
130,"JA Richeson, S Trawalter",PS,,,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,"JM Toro, M Nespor, J Mehler, LL Bonatti",PS,,,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"JR Crosby, B Monin, D Richardson",PS,Social,F,3,69,5.15,mixed ANOVA,__p^2 = .18,NA,25,0.246947019,0.002850691,0.25215893639534687,F,1.48,41.458,1.401,mixed ANOVA,10,__p^2 = 0.0476,30,0.179397898,0.254170145,0.1813604948787535,NA,NA,NA,NA,NA
133,"JS Nairne, JN Pandeirada, SR Thompson",PS,Cognitive,F,1,23,5.7,RM ANOVA,__p^2 = .20,NA,24,0.445652636,0.025570456,0.47926232435272476,F,1,37,8.08,RM ANOVA,25,__p^2 = .18,38,0.423363806,0.007242548,0.4517833360200725,0.462206401,0.21320071635561044,0.16666666666666666,0.024580044214455934,0.006714133990597168
134,"JT Larsen, AR McKibban",PS,Social,t,1,115,2.303,Partial correlation,pr = .21,NA,119,0.20996855,0.023,0.21313844586110559,t,1,234,8.836,Partial correlation,16,pr = 0.497,238,0.500179963,2.41e-16,0.5495461237969438,0.439026022,0.0936585811581694,0.06551217820804184,0.02286421902483851,4.925619939650752e-17
135,"KA Ranganath, BA Nosek",PS,Social,t,1,562,-0.11,t-test,d = -.004,NA,684,0.00464002,0.912448643,0.004640053299975426,t,1,3511.1,-6.31,t-test,25,d=.21,3597,0.105891025,3.14e-10,0.1062894913842196,0.092282138,0.04222003309207491,0.01687874901508678,0.9124873363908461,3.029968446196775e-10
136,"KD Vohs, JW Schooler",PS,Social,t,1,28,3.04,independent samples t-test,d = .88,NA,30,0.498149178,0.005086904,0.5468414178502724,t,1,56,-0.77,independent samples t-test,17,d = .20,58,0.102355162,0.444536036,0.10271486981296549,0.24895166,0.19245008972987526,0.13483997249264842,0.0044905885490617095,0.44620692182516475
137,"KH Trzesniewski, MB Donnellan, RW Robins",PS,,,NA,NA,NA,effect size,d = -0.06,NA,26867,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"KI Ruys, DA Stapel",PS,,F,2,84,11.1,ANOVA,__p^2 = .21,NA,90,0.323295181,5.28e-5,0.33532254479101736,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,"L Demany, W Trost, M Serman, C Semal",PS,Cognitive,F,3,9,8.5,ANOVA,_^2 = .74,NA,4,0.496363588,0.002712614,0.5444692830700385,F,3,12,13.06,RM ANOVA,21,__p^2 = .76,5,0.505151268,2.17732e-4,0.5561982792421923,NA,NA,NA,NA,NA
140,"LE Williams, JA Bargh",PS,Social,F,2,81,4.97,ANOVA,__p^2 =.11,NA,84,0.233776428,0.018411866,0.23818050739145447,F,2,122,0.24,ANOVA,21,__p^2=.03,125,0.044266281,1,0.04429522835391771,NA,NA,NA,NA,NA
141,"LN Jefferies, D Smilek, E Eich, JT Enns",PS,Cognitive,F,1,91,4.05,ANOVA,__p^2 = 0.0426,NA,100,0.206419847,0.047127477,0.20942895085336255,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,"M Tamir, C Mitchell, JJ Gross",PS,Social,F,2,162,192.89,RM ANOVA,X,NA,82,0.593405778,1.39e-43,0.6829066562904198,F,2,174,252.83,RM ANOVA,25,_2 = .744,88,0.609913782,3.3e-52,0.7087840592529913,NA,NA,NA,NA,NA
143,"N Epley, S Akalis, A Waytz, JT Cacioppo",PS,Social,F,4,108,3.67,mixed ANOVA,_^2 =.12,NA,57,0.172960188,0.007654847,0.17471653681126315,F,4,150,0.58,mixed ANOVA,21,__p^2 = .02,78,0.061707156,0.677581223,0.06178565771115443,NA,NA,NA,NA,NA
144,"N Epley, S Akalis, A Waytz, JT Cacioppo",PS,,,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"N Halevy, G Bornstein, L Sagiv",PS,Social,F,1,76,109.74,t-test,__p^2 = .59,NA,80,0.768651993,2.1e-16,1.0170249244377694,F,1,36,26.76,t-test,25,__p^2 = .426,40,0.652982567,8.85e-6,0.7804807668039616,0.941760874,0.11547005383792516,0.1690308509457033,1.27746356363167e-18,3.886031245552676e-6
146,"N Janssen, FX Alario, A Caramazza",PS,Cognitive,t,1,14,3.2,t-test,d = 1.71,NA,30,0.649955571,0.006420541,0.7752217767190855,t,1,11,1.9,dependent samples t-test,8,dz = .548,24,0.497082522,0.083950437,0.5454237054092343,0.675309572,0.2773500981126146,0.31622776601683794,0.005188336409568101,0.0845669112237942
147,"O Ayduk, E Kross",PS,Social,F,1,69,6.98,ANCOVA,,NA,37,0.303094508,0.010189448,0.3129236482745709,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"P Bressan, D Stranieri",PS,Social,F,1,194,7.16,RM ANOVA,f = 0.19,NA,208,0.188662549,0.008092031,0.1909499927960854,F,1,259,0.236,RM ANOVA,25,_^2 = .001,263,-0.030172295,0.627520896,-0.03018145596219748,0.064449075,0.07198157507486945,0.062257280636469035,0.007983612280289813,0.6278281784480388
149,"P Bressan, D Stranieri",PS,Social,F,1,194,7.16,RM ANOVA,f = 0.19,NA,208,0.188662549,0.008092031,0.1909499927960854,F,1,314,0.105,RM ANOVA,25,_^2 = 0.000,318,0.018283411,0.74612573,0.018285448687258624,0.084143664,0.07198157507486945,0.056523341894422145,0.007983612280289813,0.7463146304325836
150,"S Forti, GW Humphreys",PS,Cognitive,F,1,13,14.2,RM ANOVA,__p^2 = 0.522,NA,14,0.722536382,0.002344469,0.9129316530026499,F,1,18,0.81,RM ANOVA,24,_2 = .0065,19,0.207514339,0.380003702,0.21057242409605348,0.501203829,0.28867513459481287,0.24253562503633297,0.0015642717517432576,0.3852780965583357
151,"S Schnall, J Benton, S Harvey",PS,Social,F,1,41,7.81,between ANOVA,__p^2 = .16,NA,43,0.400010244,0.007866967,0.4236611254911875,F,1,124,0.001,between ANOVA,25,d = .006,126,0.002839798,0.974823723,0.0028398056338424693,0.106108841,0.15811388300841897,0.09016696346674323,0.0073739201424813435,0.9748748050677127
152,SA Burt,PS,,r,NA,NA,0.2,correlation,r = .20,NA,127,0.2,0.023974716,0.2027325540540822,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,"SE Palmer, T Ghose",PS,Cognitive,t,1,7,4.45,single sample t-test,d = 1.573,NA,8,0.859552403,0.002971641,1.2916283250436156,t,1,7,0.32,single sample t-test,22,d = 0.11,8,0.120073568,0.758308044,0.12065567193431825,0.706141998,0.408248290463863,0.408248290463863,0.001557075386380291,0.7675777108660804
154,"SJ Heine, EE Buchtel, A Norenzayan",PS,Social,r,NA,NA,-0.43,correlation,r = -0.43,NA,70,0.43,1.66938e-4,0.4598966812126785,r,NA,NA,-0.11,correlation,26,r=.-11,16,0.11,0.690466537,0.11044691579009715,0.403111094,0.12216944435630522,0.2773500981126146,1.6693838871040395e-4,0.6904665371615302
155,"SK Moeller, MD Robinson, DL Zabelina",PS,Social,r,NA,NA,-0.31,correlation,r = -.31,NA,53,0.31,0.023414774,0.3205454093019461,r,NA,NA,0.034,correlation,6,r = 0.034,72,-0.034,0.777533992,-0.03401311042792822,0.114961058,0.1414213562373095,0.1203858530857692,0.023414774454383048,0.7775339918493387
156,"T Brosch, D Sander, G Pourtois, KR Scherer",PS,,F,1,18,2.598,2x2 ANOVA,,NA,20,0.355146097,0.937803018,0.37132038200166456,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,"T Ganel, M Tanzer, MA Goodale",PS,,t,1,13,2.63,t-test,,NA,27,0.589311447,0.020787407,0.676610500285366,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"T Goschke, G Dreisbach",PS,Social,F,1,38,6.21,ANOVA,__p^2 = .14,NA,40,0.374787884,0.017182464,0.3939818771302332,F,1,93,18.94,ANOVA,16,__p^2=.17,95,0.411336583,3.46e-5,0.437218946739661,0.424817617,0.1643989873053573,0.10425720702853739,0.016552574793748075,2.744931642356447e-5
159,"T Hedden, S Ketay, A Aron, HR Markus, JD Gabrieli",PS,,F,1,18,26.19,2x2 ANOVA,,NA,20,0.769849352,7.2e-5,1.0199578121334443,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,"T Kraljic, AG Samuel, SE Brennan",PS,Cognitive,F,1,62,5.93,ANOVA,d = 0.6,NA,268,0.295458535,0.017775393,0.30453640279523114,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,"V Lobue, JS DeLoache",PS,Cognitive,F,1,44,13.42,between ANOVA,__p^2 = . 23,NA,48,0.483442318,6.65379e-4,0.5274667978360332,F,1,44,1.437,between ANOVA,16,_2 = .032,48,0.177837588,0.237041962,0.17974876334533718,0.353607781,0.15249857033260467,0.15249857033260467,5.425249979161419e-4,0.23852105528789122
162,"VL Brescoll, EL Uhlmann",PS,,t,1,44,3.53,t-test,,NA,133,0.469786797,9.87739e-4,0.5097967188654674,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,"W von Hippel, L Brener, C von Hippel",PS,,,NA,NA,0.175,bivariate correlation,,NA,44,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,"WA Cunningham, JJ Van Bavel, IR Johnsen",PS,Social,F,1,11,9.67,RMANOVA,dz = 3.931481,NA,12,0.683979364,0.009931447,0.8365537126591198,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,"X Dai, K Wertenbroch, CM Brendl",PS,Social,Chi2,1,NA,4.51,Pearson's Chi-squared test,w = .3386167,NA,56,0.28378815,0.033697241,0.2917972376701321,Chi2,1,NA,1.57,Pearson's Chi-squared test,3,w = .19,51,-0.175454592,0.210207014,-0.1772890123521954,NA,NA,NA,NA,NA
166,"YX Ho, MS Landy, LT Maloney",PS,,,NA,NA,NA,Pearson's Chi-squared test,X,NA,NA,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,"Z Estes, M Verges, LW Barsalou",PS,Cognitive,F,1,17,9.33,RM ANOVA,_^2 =.7,NA,18,0.595271914,0.007169828,0.6857920153284546,F,1,21,1.45,RM ANOVA,25,__p^2 = .065,22,0.25414164,0.241925362,0.2598354745737246,0.449149493,0.25,0.22360679774997896,0.006084953382277836,0.2452275164393816
